text,intent
Tài chính 20tr mua máy gì học IT?,Tu_Van
"Tôi muốn mua laptop để học lập trình, bạn tư vấn giúp tôi",Tu_Van
Bạn có thể gợi ý cho tôi một chiếc máy tính phù hợp không,Tu_Van
Mình muốn tìm laptop cho sinh viên ngành công nghệ thông tin,Tu_Van
Tư vấn giúp tôi máy tính để làm đồ họa,Tu_Van
Cho tôi hỏi nên mua máy tính nào để chơi game,Tu_Van
Tôi cần một chiếc laptop mỏng nhẹ để đi học,Tu_Van
Gợi ý laptop tốt cho dân văn phòng,Tu_Van
Bạn tư vấn máy tính cho người mới bắt đầu học code,Tu_Van
Mình muốn mua PC để render video nên chọn máy nào,Tu_Van
Cho hỏi máy tính nào phù hợp với công việc thiết kế,Tu_Van
Tư vấn giúp mình laptop để học online,Tu_Van
Tôi muốn mua laptop chạy phần mềm kế toán,Tu_Van
"Mình cần máy tính để chạy AutoCAD, bạn gợi ý giúp",Tu_Van
Laptop nào tốt cho sinh viên kinh tế,Tu_Van
Tư vấn máy tính để lập trình và học máy,Tu_Van
Giúp tôi chọn laptop cho con đi học cấp ba,Tu_Van
Mình muốn mua laptop pin trâu để dùng cả ngày,Tu_Van
Tư vấn cho tôi máy tính bàn để làm việc tại nhà,Tu_Van
Cho tôi xin tư vấn laptop dùng cho nhiếp ảnh,Tu_Van
Bạn ơi gợi ý laptop cho người hay di chuyển,Tu_Van
Mình muốn mua laptop chơi game tầm trung,Tu_Van
Tư vấn giúp tôi laptop cho bé học lớp 6,Tu_Van
Laptop nào tốt để chạy máy ảo và Docker,Tu_Van
Mình cần tư vấn máy tính để dựng phim,Tu_Van
Gợi ý cho tôi laptop để làm data science,Tu_Van
Tư vấn máy tính để chạy phần mềm mô phỏng,Tu_Van
Laptop nào phù hợp cho freelancer thiết kế web,Tu_Van
Mình cần laptop để học trực tuyến và làm bài tập,Tu_Van
Cho tôi hỏi máy nào dùng tốt cho công việc văn phòng hàng ngày,Tu_Van
Tôi muốn mua laptop để vừa học vừa giải trí,Tu_Van
Laptop nào phù hợp cho người mới tập code Python,Tu_Van
Bạn tư vấn giúp mình laptop để stream game,Tu_Van
Mình muốn tìm laptop để biên tập ảnh chuyên nghiệp,Tu_Van
Cho hỏi máy tính nào tốt cho việc quản lý doanh nghiệp,Tu_Van
Tư vấn laptop cho người thường xuyên làm việc với Excel,Tu_Van
Tôi cần một chiếc máy tính xách tay bền bỉ để đi công trình,Tu_Van
Laptop nào tốt cho ngành kỹ thuật xây dựng,Tu_Van
Giúp mình chọn laptop để học tiếng Anh online,Tu_Van
Tư vấn PC gaming cho người mới bắt đầu chơi game,Tu_Van
Cho tôi hỏi nên mua laptop hãng nào đáng tin cậy nhất,Tu_Van
Tôi có 15 triệu muốn mua laptop học đại học,Tu_Van
Gợi ý máy tính xách tay cho kỹ sư phần mềm,Tu_Van
Laptop nào phù hợp để làm việc từ xa tại nhà,Tu_Van
Tôi cần laptop để chạy phần mềm y tế chuyên dụng,Tu_Van
Cho tôi tư vấn máy tính phù hợp ngân sách 10 triệu,Tu_Van
Laptop nào tốt nhất cho sinh viên năm nhất,Tu_Van
